#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
4.8,16,0.03439
-1.0,1,0.036399
-1.0,1,0.036399
1.3,2,0.040539
0.8,8,0.049044
0.4,4,0.053059
-1.3,3,0.053059
0.0,10,0.065336
1.0,3,0.069833
-1.0,1,0.069833
2.2,13,0.0837
1.3,2,0.085552
0.4,16,0.100126
-1.0,1,0.100126
-1.0,1,0.100126
1.0,13,0.116279
-2.0,6,0.1219
-1.0,1,0.1219
1.6,10,0.132335
-1.0,1,0.132335
-0.5,7,0.139562
-2.2,11,0.149642
0.5,2,0.151653
1.0,3,0.153665
-1.0,1,0.155676
-1.0,1,0.155676
0.2,3,0.159699
-1.6,4,0.161711
-1.8,5,0.165735
-0.2,5,0.169757
1.5,7,0.173849
-0.6,5,0.173849
-1.0,1,0.173849
-1.0,3,0.186315
-0.3,4,0.190414
-1.0,1,0.192914
-1.0,1,0.19469
-1.0,1,0.19469
1.3,2,0.19469
-0.6,3,0.19469
0.1,6,0.208832
0.5,4,0.223929
-1.3,3,0.228671
0.5,4,0.230683
1.2,8,0.239179
2.2,9,0.248022
-2.2,3,0.248022
1.2,4,0.257552
-1.0,1,0.257552
1.8,11,0.267993
-2.2,3,0.271613
0.5,2,0.273622
0.5,2,0.274035
-0.5,3,0.274035
1.3,2,0.274035
-1.8,3,0.274035
-1.0,1,0.274035
1.3,2,0.274035
-1.7,7,0.290099
-0.8,4,0.296764
-1.0,1,0.298772
0.1,6,0.305097
2.4,6,0.305097
0.1,2,0.313113
2.2,5,0.313113
-1.0,1,0.313113
1.2,12,0.32118
-1.0,1,0.32118
-2.0,4,0.329254
-1.0,1,0.329254
-0.5,3,0.329254
0.5,2,0.337373
0.2,9,0.349946
-1.0,1,0.349946
-1.0,1,0.351959
-1.0,1,0.351959
-0.2,7,0.361401
-1.4,5,0.361401
0.6,7,0.361401
2.2,7,0.377024
0.8,10,0.377024
-1.0,3,0.392916
1.4,5,0.392916
0.1,2,0.392916
-2.4,4,0.392916
-1.0,3,0.392916
-0.7,8,0.413172
0.5,10,0.424638
1.0,5,0.424638
0.5,2,0.424638
0.2,3,0.424638
0.8,12,0.440586
-1.7,3,0.445882
0.1,2,0.447903
-0.6,5,0.451945
-0.2,5,0.456591
0.0,4,0.46028
